Area name,Code,Latitude,Longitude,Christian,Budhist,Hindu,Jewish,Muslim,Sikh,Any Other Religion,No Religion,Total,ConfidenceInterval Christian,ConfidenceIntervalBudhist,ConfidenceIntervalHindu,ConfidenceIntervalJewish,ConfidenceIntervalMuslim,ConfidenceIntervalSikh,ConfidenceIntervalAny Other Religion,ConfidenceIntervalNo Religion,ConfidenceIntervalTotal,PercentageChristian,PercentageBudhist,PercentageHindu,PercentageJewish,PercentageMuslim,PercentageSikh,PercentageAny Other Religion,PercentageNo Religion,PercentageTotal,ConfidenceIntervalPercentChristian,ConfidenceIntervalPercentBudhist,ConfidenceIntervalPercentHindu,ConfidenceIntervalPercentJewish,ConfidenceIntervalPercentMuslim,ConfidenceIntervalPercentSikh,ConfidenceIntervalPercentAny Other Religion,ConfidenceIntervalPercentNo Religion,ConfidenceIntervalPercentTotal
Barking and Dagenham,E09000002,51.5465°, 0.1293° ,"121,200",,"6,500",,"43,400","3,400","3,700","26,500","204,800","10,000",,"2,400",,"5,900","1,700","1,400","4,700","13,000",59.2,,3.2,,21.2,1.7,1.8,13,100,4.1,,6.5,,5.6,6.5,8.3,6,0
Barnet,E09000003,51.6252° N, -0.1529° ,"139,500","7,400","25,500","66,100","35,700",,"15,000","88,500","377,700","16,000","4,200","6,600","10,400","7,800",,"4,800","12,600","25,900",36.9,2,6.8,17.5,9.5,,4,23.4,100,5.5,7.9,6.5,6,6.4,,7.5,6,0
Bexley,E09000004,51.4519° N, 0.1172° ,"160,800",,"4,900",,"7,900","4,100","3,900","62,400","244,000","13,900",,"2,400",,"3,200","2,200",,"8,900","17,300",65.9,,2,,3.2,1.7,1.6,25.6,100,4.1,,6.9,,7.1,7,14.1,6.3,0
Brent,E09000005,51.5673° N, -0.2711° ,"126,800",,"48,500","4,500","77,200",,"15,600","48,400","324,900","12,600","2,100","7,500","2,300","9,500",,"4,000","8,200","19,900",39,1.2,14.9,1.4,23.8,,4.8,14.9,100,4.8,5.9,5.5,5.9,5.2,,6.3,6,0
Bromley,E09000006,51.3680° N, 0.0701° ,"187,800",,,,"15,800",,"11,500","110,200","325,400","16,400",,,,"4,800",,"2,500","12,700","21,600",57.7,,,,4.9,,3.5,33.9,100,4.3,,,,6.6,,10.5,5.4,0
Camden,E09000007,51.5517° N, -0.1588° ,"92,700","4,000",,"12,800","37,300",,"7,000","85,500","239,200","10,300","2,200",,"3,800","6,200",,"2,100","10,000","16,500",38.7,1.7,,5.4,15.6,,2.9,35.7,100,5.4,7,,6.7,6,,8.6,5.6,0
Croydon,E09000008,51.3680° N, -0.0701° ,"188,900",,"26,900",,"42,700",,"16,200","105,600","380,300","17,100",,"6,500",,"8,500",,"4,100","13,100","24,500",49.7,,7.1,,11.2,,4.2,27.8,100,4.5,,6.2,,6.3,,8.1,5.5,0
Ealing,E09000009,51.5250° N, -0.3415° ,"133,800","7,200","26,300",,"65,600","27,700","6,900","72,600","340,100","14,400","3,600","6,200","2,200","9,900","6,600",,"10,600","22,800",39.3,2.1,7.7,,19.3,8.1,2,21.3,100,5.3,7.1,6.3,,6,6.5,9.2,6,0
Enfield,E09000010,51.6623° N, -0.1181° ,"157,800",,"12,200","5,500","55,100",,"23,600","72,500","326,800","15,800",,"4,500","3,000","9,200",,"5,900","10,900","22,900",48.3,,3.7,1.7,16.9,,7.2,22.2,100,5,,6.9,7,6.3,,7.5,6.2,0
Greenwich,E09000011,51.4835° N, 0.0586°,"139,700","8,700","14,100",,"16,100",,"6,100","90,500","275,200","14,600","3,800","4,700",,"5,100",,,"11,800","20,600",50.8,3.2,5.1,,5.9,,2.2,32.9,100,5.2,7.7,7.4,,7.4,,11.8,6.1,0
Hackney,E09000012,51.5518° N, -0.0646°,"96,900","4,100","3,800","19,800","31,900",,"7,700","108,000","272,100","10,500","2,200","2,200","5,200","6,100",,"2,500","12,000","18,300",35.6,1.5,1.4,7.3,11.7,,2.8,39.7,100,5.2,6.6,6.9,6.8,6.2,,7.5,5.5,0
Hammersmith and Fulham,E09000013,51.4990° N, -0.2291°,"90,400","2,500",,,"17,600",,"6,300","57,800","174,500","9,000","1,400",,,"4,300",,,"7,800","12,900",51.8,1.4,,,10.1,,3.6,33.1,100,5,6.7,,,7.3,,12.2,6.4,0
Haringey,E09000014,51.5906° N, -0.1110°,"117,300","4,900","3,900","6,700","42,300",,"4,800","92,200","272,100","11,200","2,300","2,000","2,500","6,700",,"2,400","10,000","17,000",43.1,1.8,1.4,2.4,15.5,,1.8,33.9,100,4.7,6.3,6,5.7,5.7,,6.5,5.1,0
Harrow,E09000015,51.5881° N, -0.3423°,"86,000","4,300","74,100","12,300","25,400",,"13,200","31,800","247,100","10,000","2,300","9,200","3,600","5,300",,"3,800","6,100","16,800",34.8,1.7,30,5,10.3,,5.3,12.9,100,5.5,7.1,5.7,6.3,6.4,,6.6,6.4,0
